Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,4,14,Bottas,Stroll,,
Australia,5,7,Ricciardo,Hulkenberg,Yes,13
Australia,9,13,Bottas,Ocon,Yes,3
Australia,32,13,Leclerc,Stroll,Background,1
Australia,35,8,Bottas,Vandoorne,,1
Bahrain,2,10,Verstappen,Hamilton,Yes,1
Bahrain,2,16,Leclerc,Grosjean,Background,1
Bahrain,2,16,Grosjean,Leclerc,Background,4
Bahrain,4,6,Hulkenberg,Ocon,Yes,14
Bahrain,5,4,Magnussen,Gasly,Yes,1
Bahrain,5,4,Gasly,Magnussen,Yes,2
Bahrain,5,6,Hamilton,Hulkenberg,Yes,1
Bahrain,5,7,Hamilton,Ocon,Yes,1
Bahrain,5,8,Hamilton,Alonso,Yes,1
Bahrain,5,8,Alonso,Ocon,Yes,4
Bahrain,5,13,Grosjean,Stroll,Yes,6
Bahrain,5,14,Vandoorne,Stroll,Yes,8
Bahrain,5,16,Perez,Sirotkin,Background,4
Bahrain,6,5,Hamilton,Magnussen,Yes,1
Bahrain,7,13,Vandoorne,Grosjean,,
Bahrain,7,15,Perez,Stroll,,
Bahrain,8,4,Hamilton,Gasly,Yes,1
Bahrain,13,16,Vandoorne,Perez,,
Bahrain,15,13,Magnussen,Leclerc,Yes,1
Bahrain,16,10,Magnussen,Sirotkin,Yes,1
Bahrain,16,11,Hulkenberg,Sirotkin,Yes,14
Bahrain,16,12,Hulkenberg,Leclerc,,
Bahrain,16,13,Alonso,Leclerc,Yes,12
Bahrain,17,11,Alonso,Sirotkin,Yes,1
Bahrain,17,15,Ocon,Perez,Background,4
Bahrain,18,8,Gasly,Grosjean,,
Bahrain,18,13,Vandoorne,Leclerc,,
Bahrain,18,14,Ocon,Leclerc,,
Bahrain,20,6,Gasly,Ericsson,,
Bahrain,20,11,Vandoorne,Sirotkin,,
Bahrain,20,12,Ocon,Sirotkin,,
Bahrain,20,14,Perez,Leclerc,,
Bahrain,20,15,Sainz,Leclerc,,
